"ID","Date","Total Loss"
"1","2016-12-09 00:00:00","0"
"2","2010-07-30 00:00:00","0"
"3","2008-01-17 00:00:00","3000"
"4","2008-12-14 00:00:00","6000"
"5","2009-09-01 00:00:00","2002700"
"6","2007-03-14 00:00:00","0"
"7","2014-06-21 00:00:00","17800"
"8","2011-06-04 00:00:00","3300"
"9","2008-02-09 00:00:00","101700"
"10","2010-07-07 00:00:00","10000"
"11","2016-02-27 00:00:00","0"
"12","2015-04-01 00:00:00","4300"
"13","2016-02-04 00:00:00","0"
"14","2008-11-21 00:00:00","13700"
"15","2009-10-19 00:00:00","2000"
"16","2011-12-07 00:00:00","0"
"17","2006-09-09 00:00:00","20500"
"18","2015-08-02 00:00:00","4000"
"19","2013-12-17 00:00:00","57000"
"20","2005-02-16 00:00:00","25500"
"21","2006-08-17 00:00:00","200"
"22","2011-12-30 00:00:00","250"
"23","2012-04-08 00:00:00","4000"
"24","2013-08-16 00:00:00","0"
"25","2012-03-16 00:00:00","0"
"26","2006-06-01 00:00:00","0"
"27","2013-09-08 00:00:00","2560"
"28","2006-03-18 00:00:00","2000"
"29","2011-09-12 00:00:00","0"
"30","2010-10-15 00:00:00","22500"
"31","2007-02-13 00:00:00","66000"
"32","2015-01-16 00:00:00","55000"
"33","2009-12-10 00:00:00","27000"
"34","2007-10-09 00:00:00","3000"
"35","2005-05-13 00:00:00","9000"
"36","2014-02-07 00:00:00","200000"
"37","2008-08-13 00:00:00","6000"
"38","2010-11-18 00:00:00","1700"
"39","2009-07-11 00:00:00","1500"
"40","2011-02-24 00:00:00","4500"
"41","2010-05-16 00:00:00","16140"
"42","2008-04-26 00:00:00","6000"
"43","2014-12-13 00:00:00","30000"
"44","2015-11-10 00:00:00","3000"
"45","2016-06-06 00:00:00","0"
"46","2016-08-31 00:00:00","0"
"47","2005-10-12 00:00:00","0"
"48","2010-02-05 00:00:00","10000"
"49","2014-09-04 00:00:00","36200"
"50","2013-01-19 00:00:00","10000"
"51","2007-10-23 00:00:00","2500"
"52","2007-07-15 00:00:00","12000"
"53","2006-01-20 00:00:00","200"
"54","2015-08-13 00:00:00","4361"
"55","2015-09-25 00:00:00","10"
"56","2014-07-14 00:00:00","11200"
"57","2010-03-20 00:00:00","0"
"58","2012-07-03 00:00:00","4200"
"59","2005-08-21 00:00:00","800"
"60","2007-04-06 00:00:00","120"
"61","2006-12-27 00:00:00","11500"
"62","2012-10-11 00:00:00","5500"
"63","2014-04-05 00:00:00","4000"
"64","2008-06-20 00:00:00","45000"
"65","2011-12-21 00:00:00","700"
"66","2005-02-02 00:00:00","4100"
"67","2005-07-18 00:00:00","800"
"68","2011-06-15 00:00:00","23800"
"69","2012-05-12 00:00:00","61550"
"70","2013-07-13 00:00:00","34500"
"71","2006-11-05 00:00:00","0"
"72","2013-02-20 00:00:00","1400"
"73","2013-08-05 00:00:00","10000"
"74","2005-06-25 00:00:00","147800"
"75","2005-12-08 00:00:00","4500"
"76","2006-04-30 00:00:00","100"
"77","2007-03-28 00:00:00","240000"
"78","2010-09-02 00:00:00","40390"
"79","2005-02-25 00:00:00","38000"
"80","2007-09-30 00:00:00","2750"
"81","2008-01-06 00:00:00","15900"
"82","2010-08-10 00:00:00","1500"
"83","2007-05-10 00:00:00","12500"
"84","2009-03-10 00:00:00","61700"
"85","2007-06-02 00:00:00","6000"
"86","2011-08-29 00:00:00","4000"
"87","2006-12-18 00:00:00","500"
"88","2016-03-09 00:00:00","0"
"89","2013-01-08 00:00:00","2000"
"90","2005-03-17 00:00:00","33000"
"91","2016-11-05 00:00:00","7300"
"92","2012-06-24 00:00:00","99300"
"93","2013-05-31 00:00:00","115000"
"94","2011-05-03 00:00:00","31920"
"95","2007-09-10 00:00:00","32000"
"96","2016-07-30 00:00:00","19000"
"97","2011-01-23 00:00:00","0"
"98","2005-04-09 00:00:00","4525"
"99","2016-10-13 00:00:00","0"
"100","2007-11-24 00:00:00","0"
"101","2012-07-17 00:00:00","6100"
"102","2014-03-13 00:00:00","0"
"103","2008-04-15 00:00:00","0"
"104","2016-09-23 00:00:00","3000"
"105","2005-10-26 00:00:00","0"
"106","2013-04-04 00:00:00","2000"
"107","2014-08-03 00:00:00","7550"
"108","2008-09-05 00:00:00","500"
"109","2015-12-14 00:00:00","108650"
"110","2010-05-25 00:00:00","0"
"111","2005-06-05 00:00:00","118500"
"112","2007-06-22 00:00:00","127450"
"113","2010-01-02 00:00:00","3000"
"114","2015-01-05 00:00:00","7000"
